x;new_x;absoluteError;relativeError;standart;converted
-49,9;0,365482457436694;3,33066907387547E-16;9,31916548977951E-16;0,357399927872111;0,357399927872112
-49,8;0,465482457436695;0;0;0,448853980101705;0,448853980101705
-49,7;0,565482457436696;2,22044604925031E-16;4,14398987902525E-16;0,535823231733521;0,535823231733521
-49,6;0,665482457436697;6,66133814775094E-16;1,07886628884467E-15;0,617438714753467;0,617438714753467
-49,5;0,765482457436698;7,7715611723761E-16;1,12162360069878E-15;0,692884954233701;0,6928849542337
-49,4;0,705313869358198;7,7715611723761E-16;1,02068273323094E-15;0,761408116288545;0,761408116288545
-49,3;0,605313869358197;8,88178419700125E-16;1,08008390414792E-15;0,822323540133495;0,822323540133494
-49,2;0,505313869358195;9,99200722162641E-16;1,14191421587841E-15;0,875022578989454;0,875022578989453
-49,1;0,405313869358194;8,88178419700125E-16;9,66484247784265E-16;0,918978681480158;0,918978681480157
-49;0,305313869358193;7,7715611723761E-16;8,14840320484643E-16;0,953752652759476;0,953752652759475
-48,9;0,205313869358192;6,66133814775094E-16;6,80424746605091E-16;0,978997042801133;0,978997042801132
-48,8;0,105313869358191;3,33066907387547E-16;3,34922506009725E-16;0,994459618004517;0,994459618004517
-48,7;0,00531386935819015;0;0;0,999985881429445;0,999985881429445
-48,6;0,0946861306418109;3,33066907387547E-16;3,34565554820668E-16;0,995520616478513;0,995520616478514
-48,5;0,194686130641812;8,88178419700125E-16;9,05280583423294E-16;0,981108438603093;0,981108438603094
-48,4;0,294686130641819;2,22044604925031E-16;2,32047390690198E-16;0,956893349520482;0,956893349520481
-48,3;0,39468613064182;1,11022302462516E-16;1,20268900447847E-16;0,923117298396349;0,923117298396349
-48,2;0,494686130641821;0;0;0,880117764368649;0,880117764368649
-48,1;0,594686130641822;2,22044604925031E-16;2,68064793288603E-16;0,82832438456763;0,82832438456763
-48;0,694686130641823;4,44089209850063E-16;5,78049483077562E-16;0,768254661323649;0,768254661323649
-47,9;0,776110196153073;7,7715611723761E-16;1,10941665075104E-15;0,700508791454949;0,70050879145495
-47,8;0,676110196153072;1,11022302462516E-15;1,77418900951546E-15;0,625763669299451;0,625763669299452
