x;g_ginvx;absoluteError;relativeError
-0,0599999999999996;-0,0599999999999997;5,55111512312578E-17;9,25185853854302E-16
-0,0589999999999996;-0,0589999999999996;3,46944695195361E-17;5,88041856263328E-16
-0,0579999999999996;-0,0579999999999996;1,38777878078145E-17;2,39272203583009E-16
-0,0569999999999996;-0,0569999999999996;2,77555756156289E-17;4,86939923081212E-16
-0,0559999999999996;-0,0559999999999997;9,0205620750794E-17;1,61081465626419E-15
-0,0549999999999996;-0,0549999999999996;2,08166817117217E-17;3,78485122031306E-16
-0,0539999999999996;-0,0539999999999995;7,63278329429795E-17;1,41347838783297E-15
-0,0529999999999996;-0,0529999999999996;1,38777878078145E-17;2,61845052977633E-16
-0,0519999999999996;-0,0519999999999997;6,93889390390723E-17;1,33440267382832E-15
-0,0509999999999996;-0,0509999999999995;1,04083408558608E-16;2,04085114820803E-15
-0,0499999999999996;-0,0499999999999995;5,55111512312578E-17;1,11022302462517E-15
-0,0489999999999996;-0,0489999999999997;1,04083408558608E-16;2,12415119507365E-15
-0,0479999999999996;-0,0479999999999997;6,93889390390723E-17;1,44560289664735E-15
-0,0469999999999996;-0,0469999999999995;4,85722573273506E-17;1,03345228356066E-15
-0,0459999999999996;-0,0459999999999996;1,38777878078145E-17;3,01691039300317E-16
-0,0449999999999996;-0,0449999999999995;7,63278329429795E-17;1,69617406539956E-15
-0,0439999999999996;-0,0439999999999996;1,38777878078145E-17;3,15404268359422E-16
-0,0429999999999996;-0,0429999999999997;7,63278329429795E-17;1,77506588239489E-15
-0,0419999999999996;-0,0419999999999995;6,24500451351651E-17;1,48690583655157E-15
-0,0409999999999996;-0,0409999999999996;2,08166817117217E-17;5,07723944188339E-16
-0,0399999999999996;-0,0399999999999995;4,85722573273506E-17;1,21430643318378E-15
-0,0389999999999996;-0,0389999999999995;6,93889390390723E-17;1,77920356510444E-15
-0,0379999999999996;-0,0379999999999995;4,85722573273506E-17;1,27821729808819E-15
-0,0369999999999996;-0,0369999999999997;9,0205620750794E-17;2,43798975002148E-15
-0,0359999999999996;-0,0359999999999997;9,0205620750794E-17;2,50571168752208E-15
-0,0349999999999996;-0,0349999999999996;6,24500451351651E-17;1,78428700386188E-15
-0,0339999999999996;-0,0339999999999997;1,04083408558608E-16;3,06127672231204E-15
-0,0329999999999996;-0,0329999999999995;1,04083408558608E-16;3,15404268359424E-15
-0,0319999999999996;-0,0319999999999996;5,55111512312578E-17;1,73472347597683E-15
-0,0309999999999996;-0,0309999999999995;5,89805981832114E-17;1,90259994139395E-15
-0,0299999999999996;-0,0299999999999995;1,11022302462516E-16;3,70074341541725E-15
-0,0289999999999996;-0,0289999999999995;1,00613961606655E-16;3,46944695195368E-15
-0,0279999999999996;-0,0279999999999996;6,24500451351651E-17;2,23035875482735E-15
-0,0269999999999996;-0,0269999999999995;9,36750677027476E-17;3,46944695195368E-15
-0,0259999999999996;-0,0259999999999995;7,28583859910259E-17;2,80224561503951E-15
-0,0249999999999996;-0,0249999999999996;1,73472347597681E-17;6,93889390390734E-16
-0,0239999999999996;-0,0239999999999997;1,07552855510562E-16;4,48136897960681E-15
-0,0229999999999996;-0,0229999999999995;7,63278329429795E-17;3,31860143230353E-15
-0,0219999999999996;-0,0219999999999996;4,85722573273506E-17;2,20782987851597E-15
-0,0209999999999996;-0,0209999999999997;1,04083408558608E-16;4,95635278850524E-15
-0,0199999999999996;-0,0199999999999996;5,20417042793042E-17;2,60208521396526E-15
-0,0189999999999996;-0,0189999999999995;1,00613961606655E-16;5,2954716635083E-15
-0,0179999999999996;-0,0179999999999997;1,04083408558608E-16;5,78241158658946E-15
-0,0169999999999996;-0,0169999999999995;5,20417042793042E-17;3,0612767223121E-15
-0,0159999999999996;-0,0159999999999995;7,97972798949331E-17;4,98732999343348E-15
-0,0149999999999996;-0,0149999999999997;8,84708972748172E-17;5,89805981832128E-15
-0,0139999999999996;-0,0139999999999996;3,29597460435593E-17;2,35426757454002E-15
-0,0129999999999996;-0,0129999999999997;9,36750677027476E-17;7,20577443867308E-15
-0,0119999999999996;-0,0119999999999995;3,12250225675825E-17;2,60208521396531E-15
-0,0109999999999996;-0,0109999999999995;5,03069808033274E-17;4,57336189121178E-15
-0,00999999999999956;-0,00999999999999952;3,98986399474666E-17;3,98986399474685E-15
-0,00899999999999956;-0,00899999999999947;9,8879238130678E-17;1,09865820145204E-14
-0,00799999999999956;-0,00799999999999958;1,21430643318376E-17;1,51788304147979E-15
-0,00699999999999956;-0,00699999999999966;1,01481323344643E-16;1,44973319063783E-14
-0,00599999999999956;-0,00599999999999947;9,4542429440736E-17;1,57570715734574E-14
-0,00499999999999956;-0,00499999999999966;9,54097911787244E-17;1,90819582357462E-14
-0,00399999999999956;-0,00399999999999952;4,33680868994202E-17;1,08420217248563E-14
-0,00299999999999956;-0,00299999999999952;4,38017677684144E-17;1,46005892561405E-14
-0,00199999999999956;-0,00199999999999965;8,63024929298462E-17;4,31512464649306E-14
-0,000999999999999563;-0,000999999999999545;1,75640751942652E-17;1,75640751942732E-14
4,37150315946155E-16;5,05319527541181E-16;6,81692115950261E-17;0,134903180818538
0,00100000000000044;0,00100000000000033;1,0321604682062E-16;1,03216046820586E-13
0,00200000000000044;0,00200000000000044;8,67361737988404E-19;4,33680868994107E-16
0,00300000000000044;0,00300000000000053;9,28077059647592E-17;3,09359019882476E-14
0,00400000000000044;0,00400000000000053;9,28077059647592E-17;2,32019264911867E-14
0,00500000000000044;0,00500000000000045;9,54097911787244E-18;1,90819582357432E-15
0,00600000000000044;0,00600000000000048;4,25007251614318E-17;7,0834541935714E-15
0,00700000000000044;0,00700000000000045;1,56125112837913E-17;2,23035875482718E-15
